# インポート用テンプレート
# 使い方:
#   1. ワクワク列に利用可能なワクワくの実の名前を入力してください
#   2. 不要な行は削除してください
#   3. 保存後、アカウントページの「インポート」ボタンからアップロードしてください
# 利用可能なワクワくの実: 同族・加撃, 同族・加撃速, 同族・加命撃, 同族・加速, 同族・加命, 同族・加速命, 撃種・加撃, 撃種・加撃速, 撃種・加命撃, 撃種・加速, 撃種・加命, 撃種・加速命, 戦型・加撃, 戦型・加撃速, 戦型・加命撃, 戦型・加速, 戦型・加命, 戦型・加速命, 熱き友撃, ケガ減り, 将命削り, 兵命削り, 一撃失心, 速必殺, 毒がまん, ちび癒し, ハート, 学び, 荒稼ぎ, スピクリ, Sランク, スコア稼ぎ
図鑑No,名前,属性,種類,アカウント,わくわく1,わくわく2,わくわく3
3666,"ベディヴィア",木,恒常,,,,
3669,"イゾルデ",光,恒常,,,,
3694,"ブレーメン",火,恒常,,,,
3697,"いばら姫 ネム",木,恒常,,,,
3700,"チェシャ猫",闇,恒常,,,,
3718,"セーラーマーキュリー",水,コラボ,,,,
3722,"セーラーヴィーナス",光,コラボ,,,,
3724,"セーラームーン",闇,コラボ,,,,
3747,"ガーネット",火,恒常,,,,
3750,"トルマリン",木,恒常,,,,
3753,"アンバー",光,恒常,,,,
3781,"トリトン",水,恒常,,,,
3784,"ヒュプノス",木,恒常,,,,
3787,"タナトス",闇,恒常,,,,
3811,"ソロモン",光,限定,,,,
3823,"張遼",火,恒常,,,,
3826,"曹丕",水,恒常,,,,
3829,"華佗",闇,恒常,,,,
3843,"ベガ",水,恒常,,,,
3846,"ベテルギウス",木,恒常,,,,
3849,"リゲル",光,恒常,,,,
3864,"加藤清正",火,恒常,,,,
3867,"千利休",木,恒常,,,,
3870,"雑賀孫市",闇,恒常,,,,
3891,"城之内",火,コラボ,,,,
3893,"海馬",水,コラボ,,,,
3899,"遊戯",闇,コラボ,,,,
3918,"オオサカ",火,恒常,,,,
3921,"ヴェルサイユ",木,恒常,,,,
3924,"タージ・マハル",光,恒常,,,,
3950,"ワタツミ",水,限定,,,,
3953,"姫発",水,恒常,,,,
3956,"普賢＆文殊",光,恒常,,,,
3959,"黄飛虎",闇,恒常,,,,
3990,"ルイス・キャロル",火,恒常,,,,
3992,"グリム兄弟",木,恒常,,,,
3994,"清少納言",光,恒常,,,,
4021,"グングニル",火,恒常,,,,
4023,"ケラウノス",光,恒常,,,,
4025,"ギャラルホルン",闇,恒常,,,,
4043,"日番谷冬獅郎",水,コラボ,,,,
4047,"朽木ルキア",光,コラボ,,,,
4049,"黒崎一護",闇,コラボ,,,,
4069,"犬坂毛野",火,恒常,,,,
4071,"伏姫",木,恒常,,,,
4073,"犬塚信乃",光,恒常,,,,
4095,"纏流子",火,コラボ,,,,
4097,"ガロ",水,コラボ,,,,
4099,"シモン＆カミナ",木,コラボ,,,,
4122,"オオクニヌシ",火,恒常,,,,
4124,"サルタヒコ",光,恒常,,,,
4126,"フツヌシ",闇,恒常,,,,
4146,"シャーロック・ホームズ",闇,限定,,,,
4149,"プルメリア",水,恒常,,,,
4151,"アンスリウム",木,恒常,,,,
4153,"ハイビスカス",光,恒常,,,,
4175,"Angely Diva",水,限定,,,,
4188,"爆豪勝己",火,コラボ,,,,
4190,"轟焦凍",水,コラボ,,,,
4194,"緑谷出久",光,コラボ,,,,
4218,"ベイカーズ",水,恒常,,,,
4220,"ワトソン",光,恒常,,,,
4222,"レストレード",闇,恒常,,,,
4239,"ツタンカーメン",木,限定,,,,
4246,"サンダルフォンα",火,α,,,,
4248,"ムーα",水,α,,,,
4250,"メタトロンα",光,α,,,,
4265,"土方十四郎＆沖田総悟",火,コラボ,,,,
4269,"近藤勲＆バブルス王女",木,コラボ,,,,
4273,"高杉晋助＆鬼兵隊",闇,コラボ,,,,
4296,"ディルムッド",水,恒常,,,,
4298,"オスカー",木,恒常,,,,
4300,"フィン",闇,恒常,,,,
4315,"媽祖",水,限定,,,,
4319,"西王母",木,限定,,,,
4323,"月麗",闇,限定,,,,
4327,"トパーズ",火,恒常,,,,
4329,"アクアマリン",水,恒常,,,,
4331,"シトリン",光,恒常,,,,
4364,"カエサル",闇,限定,,,,
4369,"伏姫α",火,α,,,,
4371,"アリババα",水,α,,,,
4373,"ルイス・キャロルα",木,α,,,,
4394,"桂小五郎",水,恒常,,,,
4396,"陸奥陽之助",木,恒常,,,,
4398,"グラバー",光,恒常,,,,
4421,"テンペスト",光,限定,,,,
4429,"ジン",火,コラボ,,,,
4431,"カイト",水,コラボ,,,,
4435,"ネテロ",光,コラボ,,,,
4458,"マルス",火,恒常,,,,
4460,"ユピテル",木,恒常,,,,
4462,"ミネルヴァ",闇,恒常,,,,
4476,"アベル",光,限定,,,,
4482,"グリム兄弟α",水,α,,,,
4484,"太公望α",木,α,,,,
4486,"グングニルα",闇,α,,,,
4511,"エクスカリバー",火,限定,,,,
4514,"ビナー",木,限定,,,,
4523,"バルムンク",木,恒常,,,,
4525,"アロンズ・ロッド",光,恒常,,,,
4527,"ブリューナク",闇,恒常,,,,
4544,"黒瀬ひばな",火,恒常,,,,
4546,"水無月あお",水,恒常,,,,
4548,"エリック金光",光,恒常,,,,
4561,"楊貴妃",火,限定,,,,
4565,"武則天",闇,限定,,,,
4570,"足利義輝",火,恒常,,,,
4572,"宝蔵院胤栄",木,恒常,,,,
4574,"那須与一",光,恒常,,,,
4590,"竈門炭治郎",火,コラボ,,,,
4592,"冨岡義勇",水,コラボ,,,,
4598,"胡蝶しのぶ",闇,コラボ,,,,
4622,"鄧艾",木,恒常,,,,
4624,"王元姫",光,恒常,,,,
4626,"司馬昭",闇,恒常,,,,
4649,"風神雷神",水,限定,,,,
4656,"ナツ・ドラグニル",火,コラボ,,,,
4658,"グレイ・フルバスター",水,コラボ,,,,
4662,"エルザ・スカーレット",光,コラボ,,,,
4696,"ゼフォン",火,恒常,,,,
4698,"レビィ",水,恒常,,,,
4700,"スルガト",木,恒常,,,,
4715,"鬼丸国綱",火,限定,,,,
4720,"神威α",木,α,,,,
4722,"ハーレーα",光,α,,,,
4724,"蛙の王女 ケロンα",闇,α,,,,
4751,"シンジ＆レイ",火,コラボ,,,,
4755,"アスカ＆マリ",木,コラボ,,,,
4759,"碇ゲンドウ＆冬月コウゾウ",闇,コラボ,,,,
4781,"王昭君",光,限定,,,,
4785,"フビライ・ハン",闇,限定,,,,
4789,"アラウィン",火,恒常,,,,
4791,"ペリノア",光,恒常,,,,
4793,"オペコ",闇,恒常,,,,
4807,"三日月宗近",木,限定,,,,
4811,"アミダ",光,限定,,,,
4816,"アザトース",火,恒常,,,,
4818,"ニャルラトホテプ",水,恒常,,,,
4820,"ヨグ＝ソトース",木,恒常,,,,
4841,"ノア＆パンドラ",水,α,,,,
4845,"アーサー＆ソロモン",光,α,,,,
4847,"ルシファー＆カエサル",闇,α,,,,
4858,"童子切安綱",水,限定,,,,
4867,"真田昌幸",火,恒常,,,,
4869,"島津義弘",木,恒常,,,,
4871,"大谷吉継",闇,恒常,,,,
4886,"幕末リザレクション",木,限定,,,,
4902,"ユージオ",水,コラボ,,,,
4904,"ベルクーリ",木,コラボ,,,,
4906,"アリス・シンセシス・サーティ",光,コラボ,,,,
4926,"マチュ・ピチュ",火,恒常,,,,
4928,"モヘンジョダロ",水,恒常,,,,
4930,"アユタヤ",光,恒常,,,,
4942,"ラプラス",火,限定,,,,
4952,"ワトソンα",火,α,,,,
4954,"大和α",水,α,,,,
4956,"孫悟空α",闇,α,,,,
4971,"大典太光世",光,限定,,,,
4980,"切島鋭児郎",火,コラボ,,,,
4984,"八百万百",木,コラボ,,,,
4988,"常闇踏陰",闇,コラボ,,,,
5013,"ラベンダー",水,恒常,,,,
5015,"ジャスミン",木,恒常,,,,
5017,"牡丹",光,恒常,,,,
5028,"数珠丸恒次",闇,限定,,,,
5033,"ハレルヤ",水,限定,,,,
5062,"エレン・イェーガー",火,コラボ,,,,
5066,"ミカサ・アッカーマン",木,コラボ,,,,
5070,"リヴァイ兵士長",闇,コラボ,,,,
5093,"閻魔",闇,限定,,,,
5097,"不知火ヒナタ",火,恒常,,,,
5099,"蒼凪ミソラ",水,恒常,,,,
5101,"式森コカゲ",木,恒常,,,,
5151,"ペルセウス",火,恒常,,,,
5153,"マルタ",光,恒常,,,,
5155,"源頼光",闇,恒常,,,,
5179,"エスカノール",火,コラボ,,,,
5181,"マーリン（コラボ）",水,コラボ,,,,
5185,"エリザベス",光,コラボ,,,,
5206,"タンザナイト",水,恒常,,,,
5208,"ペリドット",木,恒常,,,,
5210,"タイガーアイ",闇,恒常,,,,
5225,"まほろば",木,限定,,,,
5229,"カメハメハα",水,α,,,,
5231,"黒瀬ひばなα",光,α,,,,
5233,"アロンズ・ロッドα",闇,α,,,,
5259,"アルセーヌ",闇,限定,,,,
5266,"打出の小槌",火,恒常,,,,
5268,"トライデント",木,恒常,,,,
5270,"ヴォーパルソード",光,恒常,,,,
5283,"ニュートン",火,恒常,,,,
5285,"パスカル",木,恒常,,,,
5287,"フランクリン",闇,恒常,,,,
5305,"小南桐絵",火,コラボ,,,,
5307,"迅悠一",水,コラボ,,,,
5313,"空閑遊真",闇,コラボ,,,,
5335,"神農",水,限定,,,,
5337,"西施",木,限定,,,,
5344,"十文字雷葉",水,恒常,,,,
5346,"梃子場亜流太",木,恒常,,,,
5348,"物乃具姫",光,恒常,,,,
5358,"モノノケ少女",光,限定,,,,
5379,"フォルトゥナ",火,恒常,,,,
5381,"メルクリウス",水,恒常,,,,
5383,"ユノー",光,恒常,,,,
5385,"オニャンコポン",光,限定,,,,
5392,"仮面ライダー電王",火,コラボ,,,,
5396,"仮面ライダー新1号",木,コラボ,,,,
5400,"仮面ライダークウガ",闇,コラボ,,,,
5421,"ゼフォンα",水,α,,,,
5423,"モーツァルトα",木,α,,,,
5425,"アリスα",光,α,,,,
5445,"ブレイク",火,恒常,,,,
5447,"マスター・コーヴ",水,恒常,,,,
5449,"スマッシュ",闇,恒常,,,,
5459,"アムリタ",水,限定,,,,
5472,"虎杖悠仁",火,コラボ,,,,
5478,"七海建人",光,コラボ,,,,
5480,"五条悟",闇,コラボ,,,,
5502,"ミラ",水,恒常,,,,
5504,"アルタイル",木,恒常,,,,
5506,"レグルス",光,恒常,,,,
5518,"項羽",水,限定,,,,
5524,"バサラ",火,限定,,,,
5530,"アブドゥーグ",火,恒常,,,,
5532,"ベネット",木,恒常,,,,
5534,"ピムス",闇,恒常,,,,
5550,"犬塚信乃α",火,α,,,,
5552,"式森コカゲα",水,α,,,,
5554,"風神雷神α",光,α,,,,
5568,"浦女３年",水,コラボ,,,,
5571,"浦女１年",木,コラボ,,,,
5574,"浦女２年",光,コラボ,,,,
5582,"エルマ・ルー＆コニィ・ルー",木,恒常,,,,
5584,"ガリーナ",光,恒常,,,,
5586,"レイデル",闇,恒常,,,,
5606,"終末運命共同隊",闇,限定,,,,
5627,"マァム",火,コラボ,,,,
5629,"ダイ",水,コラボ,,,,
5631,"ポップ",木,コラボ,,,,
5671,"韓非",水,恒常,,,,
5673,"李信",光,恒常,,,,
5675,"王翦",闇,恒常,,,,
5727,"アナスタシア",水,限定,,,,
5734,"十文字雷葉α",火,α,,,,
5736,"アザトースα",木,α,,,,
5738,"那須与一α",闇,α,,,,
5759,"浦原喜助",火,コラボ,,,,
5763,"井上織姫",木,コラボ,,,,
5765,"石田雨竜",光,コラボ,,,,
5786,"アネモネ",水,恒常,,,,
5788,"グロリオサ",光,恒常,,,,
5790,"ブラックリリー",闇,恒常,,,,
5806,"カノン",木,限定,,,,
5819,"ラム",火,コラボ,,,,
5821,"レム",水,コラボ,,,,
5825,"エミリア",光,コラボ,,,,
5862,"えびす",火,限定,,,,
5869,"犬山道節",火,恒常,,,,
5871,"犬田小文吾",木,恒常,,,,
5873,"浜路",闇,恒常,,,,
5889,"オフィーリア",水,恒常,,,,
5891,"コーディリア＆リア",光,恒常,,,,
